date,btc_unscaled,btc_monthly,isPartial,scale,btc
2021-04-18,97,13.0,False,0.13,12.610000000000001
2021-04-19,73,13.0,,0.13,9.49
2021-04-20,76,13.0,,0.13,9.88
2021-04-21,56,13.0,,0.13,7.28
2021-04-22,64,13.0,,0.13,8.32
2021-04-23,100,13.0,,0.13,13.0
2021-04-24,74,13.0,,0.13,9.620000000000001
2021-04-25,65,10.0,False,0.1,6.5
2021-04-26,69,10.0,,0.1,6.9
2021-04-27,57,10.0,,0.1,5.7
2021-04-28,55,10.0,,0.1,5.5
2021-04-29,51,10.0,,0.1,5.1000000000000005
2021-04-30,51,10.0,,0.1,5.1000000000000005
2021-05-01,32,10.0,,0.1,3.2
2021-05-02,27,8.0,False,0.08,2.16
2021-05-03,31,8.0,,0.08,2.48
2021-05-04,32,8.0,,0.08,2.56
2021-05-05,32,8.0,,0.08,2.56
2021-05-06,29,8.0,,0.08,2.32
2021-05-07,30,8.0,,0.08,2.4
2021-05-08,30,8.0,,0.08,2.4
2021-05-09,26,9.0,False,0.09,2.34
2021-05-10,30,9.0,,0.09,2.6999999999999997
2021-05-11,27,9.0,,0.09,2.4299999999999997
2021-05-12,31,9.0,,0.09,2.79
2021-05-13,57,9.0,,0.09,5.13
2021-05-14,41,9.0,,0.09,3.69
2021-05-15,36,9.0,,0.09,3.2399999999999998
2021-05-16,41,16.0,False,0.16,6.5600000000000005
2021-05-17,57,16.0,,0.16,9.120000000000001
2021-05-18,44,16.0,,0.16,7.04
2021-05-19,100,16.0,,0.16,16.0
2021-05-20,70,16.0,,0.16,11.200000000000001
2021-05-21,58,16.0,,0.16,9.28
2021-05-22,53,16.0,,0.16,8.48
2021-05-23,60,12.0,False,0.12,7.199999999999999
2021-05-24,57,12.0,,0.12,6.84
2021-05-25,45,12.0,,0.12,5.3999999999999995
2021-05-26,37,12.0,,0.12,4.4399999999999995
2021-05-27,36,12.0,,0.12,4.32
2021-05-28,39,12.0,,0.12,4.68
2021-05-29,37,12.0,,0.12,4.4399999999999995
2021-05-30,33,9.0,False,0.09,2.9699999999999998
2021-05-31,32,9.0,,0.09,2.88
2021-06-01,70,9.0,,0.09,6.3
2021-06-02,65,9.0,,0.09,5.85
2021-06-03,65,9.0,,0.09,5.85
2021-06-04,70,9.0,,0.09,6.3
2021-06-05,62,9.0,,0.09,5.58
2021-06-06,58,9.0,False,0.09,5.22
2021-06-07,65,9.0,,0.09,5.85
2021-06-08,90,9.0,,0.09,8.1
2021-06-09,75,9.0,,0.09,6.75
2021-06-10,68,9.0,,0.09,6.12
2021-06-11,59,9.0,,0.09,5.31
2021-06-12,54,9.0,,0.09,4.859999999999999
2021-06-13,58,8.0,False,0.08,4.64
2021-06-14,76,8.0,,0.08,6.08
2021-06-15,64,8.0,,0.08,5.12
2021-06-16,57,8.0,,0.08,4.5600000000000005
2021-06-17,53,8.0,,0.08,4.24
2021-06-18,53,8.0,,0.08,4.24
2021-06-19,51,8.0,,0.08,4.08
2021-06-20,57,9.0,False,0.09,5.13
2021-06-21,73,9.0,,0.09,6.569999999999999
2021-06-22,100,9.0,,0.09,9.0
2021-06-23,71,9.0,,0.09,6.39
2021-06-24,63,9.0,,0.09,5.67
2021-06-25,57,9.0,,0.09,5.13
2021-06-26,56,9.0,,0.09,5.04
2021-06-27,53,7.0,False,0.07,3.7100000000000004
2021-06-28,52,7.0,,0.07,3.6400000000000006
2021-06-29,52,7.0,,0.07,3.6400000000000006
2021-06-30,50,7.0,,0.07,3.5000000000000004
2021-07-01,55,7.0,,0.07,3.8500000000000005
2021-07-02,49,7.0,,0.07,3.43
2021-07-03,44,7.0,,0.07,3.08
2021-07-04,52,6.0,False,0.06,3.12
2021-07-05,50,6.0,,0.06,3.0
2021-07-06,49,6.0,,0.06,2.94
2021-07-07,48,6.0,,0.06,2.88
2021-07-08,49,6.0,,0.06,2.94
2021-07-09,47,6.0,,0.06,2.82
2021-07-10,45,6.0,,0.06,2.6999999999999997
2021-07-11,40,6.0,False,0.06,2.4
2021-07-12,45,6.0,,0.06,2.6999999999999997
2021-07-13,46,6.0,,0.06,2.76
2021-07-14,45,6.0,,0.06,2.6999999999999997
2021-07-15,46,6.0,,0.06,2.76
2021-07-16,47,6.0,,0.06,2.82
2021-07-17,42,6.0,,0.06,2.52
2021-07-18,44,6.0,False,0.06,2.6399999999999997
2021-07-19,53,6.0,,0.06,3.1799999999999997
2021-07-20,74,6.0,,0.06,4.4399999999999995
2021-07-21,58,6.0,,0.06,3.48
2021-07-22,51,6.0,,0.06,3.06
2021-07-23,45,6.0,,0.06,2.6999999999999997
2021-07-24,49,6.0,,0.06,2.94
2021-07-25,53,8.0,False,0.08,4.24
2021-07-26,100,8.0,,0.08,8.0
2021-07-27,70,8.0,,0.08,5.6000000000000005
2021-07-28,71,8.0,,0.08,5.68
2021-07-29,56,8.0,,0.08,4.48
2021-07-30,50,8.0,,0.08,4.0
2021-07-31,61,8.0,,0.08,4.88
2021-08-01,78,7.0,False,0.07,5.460000000000001
2021-08-02,80,7.0,,0.07,5.6000000000000005
2021-08-03,73,7.0,,0.07,5.11
2021-08-04,68,7.0,,0.07,4.760000000000001
2021-08-05,73,7.0,,0.07,5.11
2021-08-06,79,7.0,,0.07,5.53
2021-08-07,93,7.0,,0.07,6.510000000000001
2021-08-08,88,8.0,False,0.08,7.04
2021-08-09,100,8.0,,0.08,8.0
2021-08-10,89,8.0,,0.08,7.12
2021-08-11,88,8.0,,0.08,7.04
2021-08-12,90,8.0,,0.08,7.2
2021-08-13,96,8.0,,0.08,7.68
2021-08-14,82,8.0,,0.08,6.5600000000000005
2021-08-15,77,7.0,False,0.07,5.390000000000001
2021-08-16,85,7.0,,0.07,5.95
2021-08-17,73,7.0,,0.07,5.11
2021-08-18,79,7.0,,0.07,5.53
2021-08-19,74,7.0,,0.07,5.180000000000001
2021-08-20,87,7.0,,0.07,6.090000000000001
2021-08-21,90,7.0,,0.07,6.300000000000001
2021-08-22,73,7.0,False,0.07,5.11
2021-08-23,97,7.0,,0.07,6.790000000000001
2021-08-24,77,7.0,,0.07,5.390000000000001
2021-08-25,85,7.0,,0.07,5.95
2021-08-26,71,7.0,,0.07,4.970000000000001
2021-08-27,78,7.0,,0.07,5.460000000000001
2021-08-28,69,7.0,,0.07,4.83
2021-08-29,65,6.0,False,0.06,3.9
2021-08-30,72,6.0,,0.06,4.32
2021-08-31,74,6.0,,0.06,4.4399999999999995
2021-09-01,49,6.0,,0.06,2.94
2021-09-02,58,6.0,,0.06,3.48
2021-09-03,57,6.0,,0.06,3.42
2021-09-04,53,6.0,,0.06,3.1799999999999997
2021-09-05,56,7.0,False,0.07,3.9200000000000004
2021-09-06,63,7.0,,0.07,4.41
2021-09-07,100,7.0,,0.07,7.000000000000001
2021-09-08,86,7.0,,0.07,6.0200000000000005
2021-09-09,64,7.0,,0.07,4.48
2021-09-10,61,7.0,,0.07,4.2700000000000005
2021-09-11,51,7.0,,0.07,3.5700000000000003
2021-09-12,52,6.0,False,0.06,3.12
2021-09-13,57,6.0,,0.06,3.42
2021-09-14,54,6.0,,0.06,3.2399999999999998
2021-09-15,59,6.0,,0.06,3.54
2021-09-16,56,6.0,,0.06,3.36
2021-09-17,49,6.0,,0.06,2.94
2021-09-18,50,6.0,,0.06,3.0
2021-09-19,42,7.0,False,0.07,2.9400000000000004
2021-09-20,75,7.0,,0.07,5.250000000000001
2021-09-21,79,7.0,,0.07,5.53
2021-09-22,66,7.0,,0.07,4.62
2021-09-23,55,7.0,,0.07,3.8500000000000005
2021-09-24,70,7.0,,0.07,4.9
2021-09-25,59,7.0,,0.07,4.130000000000001
