date,bitcoin news_unscaled,bitcoin news_monthly,isPartial,scale,bitcoin news
2020-08-22,35,10.0,,0.1,3.5
2020-08-23,52,10.0,False,0.1,5.2
2020-08-24,27,10.0,,0.1,2.7
2020-08-25,54,10.0,,0.1,5.4
2020-08-26,68,10.0,,0.1,6.800000000000001
2020-08-27,49,10.0,,0.1,4.9
2020-08-28,38,10.0,,0.1,3.8000000000000003
2020-08-29,38,10.0,,0.1,3.8000000000000003
2020-08-30,49,10.0,False,0.1,4.9
2020-08-31,18,10.0,,0.1,1.8
2020-09-01,59,10.0,,0.1,5.9
2020-09-02,56,10.0,,0.1,5.6000000000000005
2020-09-03,83,10.0,,0.1,8.3
2020-09-04,100,10.0,,0.1,10.0
2020-09-05,51,10.0,,0.1,5.1000000000000005
2020-09-06,51,9.0,False,0.09,4.59
2020-09-07,77,9.0,,0.09,6.93
2020-09-08,70,9.0,,0.09,6.3
2020-09-09,52,9.0,,0.09,4.68
2020-09-10,26,9.0,,0.09,2.34
2020-09-11,54,9.0,,0.09,4.859999999999999
2020-09-12,39,9.0,,0.09,3.51
2020-09-13,34,8.0,False,0.08,2.72
2020-09-14,52,8.0,,0.08,4.16
2020-09-15,56,8.0,,0.08,4.48
2020-09-16,30,8.0,,0.08,2.4
2020-09-17,52,8.0,,0.08,4.16
2020-09-18,35,8.0,,0.08,2.8000000000000003
2020-09-19,60,8.0,,0.08,4.8
2020-09-20,30,7.0,False,0.07,2.1
2020-09-21,47,7.0,,0.07,3.2900000000000005
2020-09-22,48,7.0,,0.07,3.3600000000000003
2020-09-23,29,7.0,,0.07,2.0300000000000002
2020-09-24,48,7.0,,0.07,3.3600000000000003
2020-09-25,44,7.0,,0.07,3.08
2020-09-26,40,7.0,,0.07,2.8000000000000003
2020-09-27,43,8.0,False,0.08,3.44
2020-09-28,49,8.0,,0.08,3.92
2020-09-29,57,8.0,,0.08,4.5600000000000005
2020-09-30,42,8.0,,0.08,3.36
2020-10-01,58,8.0,,0.08,4.64
2020-10-02,30,8.0,,0.08,2.4
2020-10-03,38,8.0,,0.08,3.04
2020-10-04,56,9.0,False,0.09,5.04
2020-10-05,49,9.0,,0.09,4.41
2020-10-06,49,9.0,,0.09,4.41
2020-10-07,46,9.0,,0.09,4.14
2020-10-08,29,9.0,,0.09,2.61
2020-10-09,54,9.0,,0.09,4.859999999999999
2020-10-10,55,9.0,,0.09,4.95
2020-10-11,55,6.0,False,0.06,3.3
2020-10-12,49,6.0,,0.06,2.94
2020-10-13,39,6.0,,0.06,2.34
2020-10-14,52,6.0,,0.06,3.12
2020-10-15,35,6.0,,0.06,2.1
2020-10-16,41,6.0,,0.06,2.46
2020-10-17,20,6.0,,0.06,1.2
2020-10-18,59,13.0,False,0.13,7.67
2020-10-19,44,13.0,,0.13,5.720000000000001
2020-10-20,48,13.0,,0.13,6.24
2020-10-21,95,13.0,,0.13,12.35
2020-10-22,81,13.0,,0.13,10.530000000000001
