date,bitcoin price usd_unscaled,bitcoin price usd_monthly,isPartial,scale,bitcoin price usd
2019-03-23,62,5.0,,0.05,3.1
2019-03-24,45,3.0,False,0.03,1.3499999999999999
2019-03-25,70,3.0,,0.03,2.1
2019-03-26,80,3.0,,0.03,2.4
2019-03-27,76,3.0,,0.03,2.28
2019-03-28,60,3.0,,0.03,1.7999999999999998
2019-03-29,86,3.0,,0.03,2.58
2019-03-30,82,3.0,,0.03,2.46
2019-03-31,80,9.0,False,0.09,7.199999999999999
2019-04-01,23,9.0,,0.09,2.07
2019-04-02,80,9.0,,0.09,7.199999999999999
2019-04-03,100,9.0,,0.09,9.0
2019-04-04,52,9.0,,0.09,4.68
2019-04-05,50,9.0,,0.09,4.5
2019-04-06,31,9.0,,0.09,2.79
2019-04-07,31,7.0,False,0.07,2.1700000000000004
2019-04-08,49,7.0,,0.07,3.43
2019-04-09,65,7.0,,0.07,4.550000000000001
2019-04-10,51,7.0,,0.07,3.5700000000000003
2019-04-11,27,7.0,,0.07,1.8900000000000001
2019-04-12,34,7.0,,0.07,2.3800000000000003
2019-04-13,56,7.0,,0.07,3.9200000000000004
2019-04-14,36,7.0,False,0.07,2.5200000000000005
2019-04-15,39,7.0,,0.07,2.7300000000000004
2019-04-16,65,7.0,,0.07,4.550000000000001
2019-04-17,40,7.0,,0.07,2.8000000000000003
2019-04-18,51,7.0,,0.07,3.5700000000000003
2019-04-19,23,7.0,,0.07,1.61
2019-04-20,41,7.0,,0.07,2.87
2019-04-21,30,7.0,False,0.07,2.1
2019-04-22,41,7.0,,0.07,2.87
2019-04-23,64,7.0,,0.07,4.48
2019-04-24,32,7.0,,0.07,2.24
2019-04-25,41,7.0,,0.07,2.87
2019-04-26,31,7.0,,0.07,2.1700000000000004
2019-04-27,62,7.0,,0.07,4.340000000000001
2019-04-28,20,7.0,False,0.07,1.4000000000000001
2019-04-29,51,7.0,,0.07,3.5700000000000003
2019-04-30,25,7.0,,0.07,1.7500000000000002
2019-05-01,19,7.0,,0.07,1.33
2019-05-02,36,7.0,,0.07,2.5200000000000005
2019-05-03,44,7.0,,0.07,3.08
2019-05-04,31,7.0,,0.07,2.1700000000000004
2019-05-05,35,9.0,False,0.09,3.15
2019-05-06,42,9.0,,0.09,3.78
2019-05-07,39,9.0,,0.09,3.51
2019-05-08,39,9.0,,0.09,3.51
2019-05-09,32,9.0,,0.09,2.88
2019-05-10,48,9.0,,0.09,4.32
2019-05-11,62,9.0,,0.09,5.58
2019-05-12,66,18.0,False,0.18,11.879999999999999
2019-05-13,85,18.0,,0.18,15.299999999999999
2019-05-14,87,18.0,,0.18,15.66
2019-05-15,100,18.0,,0.18,18.0
2019-05-16,76,18.0,,0.18,13.68
2019-05-17,94,18.0,,0.18,16.919999999999998
2019-05-18,63,18.0,,0.18,11.34
2019-05-19,63,12.0,False,0.12,7.56
2019-05-20,57,12.0,,0.12,6.84
2019-05-21,56,12.0,,0.12,6.72
2019-05-22,41,12.0,,0.12,4.92
2019-05-23,36,12.0,,0.12,4.32
2019-05-24,48,12.0,,0.12,5.76
2019-05-25,47,12.0,,0.12,5.64
2019-05-26,41,11.0,False,0.11,4.51
2019-05-27,49,11.0,,0.11,5.39
2019-05-28,51,11.0,,0.11,5.61
2019-05-29,39,11.0,,0.11,4.29
2019-05-30,46,11.0,,0.11,5.06
2019-05-31,61,11.0,,0.11,6.71
2019-06-01,21,11.0,,0.11,2.31
2019-06-02,24,10.0,False,0.1,2.4000000000000004
2019-06-03,24,10.0,,0.1,2.4000000000000004
2019-06-04,27,10.0,,0.1,2.7
2019-06-05,20,10.0,,0.1,2.0
2019-06-06,16,10.0,,0.1,1.6
2019-06-07,23,10.0,,0.1,2.3000000000000003
2019-06-08,21,10.0,,0.1,2.1
2019-06-09,19,9.0,False,0.09,1.71
2019-06-10,27,9.0,,0.09,2.4299999999999997
2019-06-11,18,9.0,,0.09,1.6199999999999999
2019-06-12,19,9.0,,0.09,1.71
2019-06-13,23,9.0,,0.09,2.07
2019-06-14,27,9.0,,0.09,2.4299999999999997
2019-06-15,20,9.0,,0.09,1.7999999999999998
2019-06-16,31,17.0,False,0.17,5.2700000000000005
2019-06-17,24,17.0,,0.17,4.08
2019-06-18,40,17.0,,0.17,6.800000000000001
2019-06-19,32,17.0,,0.17,5.44
2019-06-20,40,17.0,,0.17,6.800000000000001
2019-06-21,41,17.0,,0.17,6.970000000000001
2019-06-22,68,17.0,,0.17,11.56
2019-06-23,50,27.0,False,0.27,13.5
2019-06-24,38,27.0,,0.27,10.260000000000002
2019-06-25,52,27.0,,0.27,14.040000000000001
2019-06-26,100,27.0,,0.27,27.0
2019-06-27,97,27.0,,0.27,26.19
2019-06-28,81,27.0,,0.27,21.87
2019-06-29,53,27.0,,0.27,14.31
2019-06-30,49,16.0,False,0.16,7.84
2019-07-01,78,16.0,,0.16,12.48
