date,bitcoin dollar_unscaled,bitcoin dollar_monthly,isPartial,scale,bitcoin dollar
2020-02-18,71,14.0,,0.14,9.940000000000001
2020-02-19,79,14.0,,0.14,11.06
2020-02-20,72,14.0,,0.14,10.080000000000002
2020-02-21,52,14.0,,0.14,7.280000000000001
2020-02-22,65,14.0,,0.14,9.100000000000001
2020-02-23,48,12.0,False,0.12,5.76
2020-02-24,40,12.0,,0.12,4.8
2020-02-25,75,12.0,,0.12,9.0
2020-02-26,69,12.0,,0.12,8.28
2020-02-27,66,12.0,,0.12,7.92
2020-02-28,88,12.0,,0.12,10.559999999999999
2020-02-29,36,12.0,,0.12,4.32
2020-03-01,32,14.0,False,0.14,4.48
2020-03-02,36,14.0,,0.14,5.040000000000001
2020-03-03,27,14.0,,0.14,3.7800000000000002
2020-03-04,39,14.0,,0.14,5.460000000000001
2020-03-05,47,14.0,,0.14,6.580000000000001
2020-03-06,38,14.0,,0.14,5.32
2020-03-07,35,14.0,,0.14,4.9
2020-03-08,25,23.0,False,0.23,5.75
2020-03-09,60,23.0,,0.23,13.8
2020-03-10,34,23.0,,0.23,7.82
2020-03-11,31,23.0,,0.23,7.13
2020-03-12,68,23.0,,0.23,15.64
2020-03-13,100,23.0,,0.23,23.0
2020-03-14,67,23.0,,0.23,15.41
2020-03-15,70,26.0,False,0.26,18.2
2020-03-16,72,26.0,,0.26,18.72
2020-03-17,54,26.0,,0.26,14.040000000000001
2020-03-18,60,26.0,,0.26,15.600000000000001
2020-03-19,67,26.0,,0.26,17.42
2020-03-20,57,26.0,,0.26,14.82
2020-03-21,52,26.0,,0.26,13.52
2020-03-22,44,22.0,False,0.22,9.68
2020-03-23,69,22.0,,0.22,15.18
2020-03-24,45,22.0,,0.22,9.9
2020-03-25,61,22.0,,0.22,13.42
2020-03-26,34,22.0,,0.22,7.48
2020-03-27,39,22.0,,0.22,8.58
2020-03-28,41,22.0,,0.22,9.02
2020-03-29,39,18.0,False,0.18,7.02
2020-03-30,37,18.0,,0.18,6.66
2020-03-31,32,18.0,,0.18,5.76
2020-04-01,63,18.0,,0.18,11.34
2020-04-02,57,18.0,,0.18,10.26
2020-04-03,52,18.0,,0.18,9.36
2020-04-04,64,18.0,,0.18,11.52
2020-04-05,45,18.0,False,0.18,8.1
2020-04-06,64,18.0,,0.18,11.52
2020-04-07,66,18.0,,0.18,11.879999999999999
2020-04-08,52,18.0,,0.18,9.36
2020-04-09,48,18.0,,0.18,8.64
2020-04-10,45,18.0,,0.18,8.1
2020-04-11,31,18.0,,0.18,5.58
2020-04-12,65,16.0,False,0.16,10.4
2020-04-13,46,16.0,,0.16,7.36
2020-04-14,48,16.0,,0.16,7.68
2020-04-15,59,16.0,,0.16,9.44
2020-04-16,52,16.0,,0.16,8.32
2020-04-17,62,16.0,,0.16,9.92
2020-04-18,35,16.0,,0.16,5.6000000000000005
2020-04-19,48,15.0,False,0.15,7.199999999999999
2020-04-20,62,15.0,,0.15,9.299999999999999
2020-04-21,50,15.0,,0.15,7.5
2020-04-22,55,15.0,,0.15,8.25
2020-04-23,61,15.0,,0.15,9.15
2020-04-24,49,15.0,,0.15,7.35
